user_id,book_id,user_rating
5451550,3,0
5465462,3,5
5498948,3,4
5574208,3,4
5626931,3,4
5651679,3,3
5912889,3,5
6023393,3,5
607804,3,4
6089955,3,4
6743601,3,4
68029956,3,3
68030,3,4
6868829,3,4
71848701,3,5
721595,3,5
7302570,3,5
7353428,3,5
7365405,3,4
7367573,3,4
80115954,3,5
83582,3,4
864675,3,4
87796500,3,5
88247398,3,3
9098678,3,5
9303625,3,4
93149311,3,5
970632,3,5
1,4,4
10336538,4,2
10367112,4,4
10553671,4,3
106638288,4,5
106692,4,5
1072582,4,4
10915830,4,0
11183856,4,5
111921,4,4
11284813,4,4
1162953,4,3
11745914,4,3
122647,4,4
12404,4,5
12618229,4,5
1380067,4,4
1381728,4,5
141080755,4,5
1413439,4,5
14457130,4,0
14514998,4,3
1526851,4,5
1570669,4,2
16219087,4,2
16384209,4,4
1654645,4,5
16731747,4,5
18104163,4,3
18384692,4,5
19871593,4,3
2281988,4,4
2294090,4,5
23133809,4,4
23244211,4,5
237469,4,4
24239256,4,2
24337665,4,4
25184600,4,3
25375513,4,4
25388909,4,4
2574606,4,5
25894509,4,5
2612079,4,3
269235,4,5
27402361,4,4
2745288,4,2
2913816,4,3
2933855,4,3
30222072,4,3
3030788,4,0
3081722,4,5
3089655,4,3
30978160,4,5
31000456,4,4
31880928,4,2
32340179,4,5
3258178,4,2
32730479,4,4
33939264,4,5
3571171,4,4
3849903,4,3
3920693,4,3
3977017,4,5
3990914,4,4
4125660,4,5
4131979,4,5
4159922,4,3
4176715,4,4
4216480,4,4
4326315,4,4
4365117,4,4
4379514,4,3
44770518,4,5
4514828,4,5
4527753,4,3
4530043,4,3
45618,4,5
4717304,4,5
4851964,4,2
4929450,4,1
5210022,4,5
5253785,4,4
5293536,4,5
53555116,4,1
5451550,4,0
5465462,4,5
5498948,4,4
5574208,4,3
5651679,4,3
5860019,4,3
5912889,4,3
6023393,4,4
6089955,4,4
66670237,4,3
6743601,4,5
68029956,4,5
68030,4,5
6868829,4,3
71848701,4,2
7205303,4,0
7302570,4,4
7353428,4,4
7365405,4,4
7367573,4,3
7668522,4,4
80115954,4,5
8114361,4,4
83582,4,4
8432851,4,4
8734459,4,4
